WeekDate,climate change matches,corporate governance matches,ESG matches,social responsibility matches,sustainability matches
2011-01-24,1706.0,79.0,35.0,2103.0,420.0
2011-01-31,1300.0,65.0,29.0,1444.0,436.0
2011-02-07,1490.0,78.0,35.0,1804.0,447.0
2011-02-14,1674.0,78.0,42.0,2011.0,433.0
2011-02-21,1306.0,65.0,48.0,1670.0,490.0
2011-02-28,1445.0,93.0,35.0,1614.0,472.0
2011-03-07,1134.0,73.0,53.0,1381.0,483.0
2011-03-14,1385.0,60.0,29.0,1579.0,550.0
2011-03-21,1465.0,70.0,52.0,1660.0,489.0
2011-03-28,1221.0,96.0,35.0,1734.0,474.0
2011-04-04,1516.0,64.0,19.0,1752.0,431.0
2011-04-11,1221.0,85.0,55.0,1651.0,600.0
2011-04-18,1467.0,76.0,33.0,1545.0,798.0
2011-04-25,1241.0,69.0,50.0,1425.0,547.0
2011-05-02,1319.0,56.0,26.0,1414.0,402.0
2011-05-09,1256.0,63.0,21.0,1513.0,436.0
2011-05-16,1246.0,47.0,34.0,1597.0,462.0
2011-05-23,1250.0,97.0,21.0,1582.0,366.0
2011-05-30,1389.0,124.0,37.0,1523.0,466.0
2011-06-06,1452.0,90.0,45.0,1539.0,415.0
2011-06-13,1440.0,69.0,35.0,1707.0,434.0
2011-06-20,1381.0,64.0,43.0,1659.0,399.0
2011-06-27,1317.0,64.0,25.0,1483.0,442.0
2011-07-04,1069.0,83.0,14.0,1365.0,328.0
2011-07-11,965.0,85.0,31.0,1872.0,476.0
2011-07-18,1180.0,105.0,29.0,1925.0,401.0
2011-07-25,1283.0,85.0,28.0,1685.0,292.0
2011-08-01,1127.0,59.0,18.0,1503.0,459.0
2011-08-08,1142.0,80.0,18.0,1789.0,499.0
2011-08-15,1446.0,97.0,71.0,1679.0,431.0
2011-08-22,1436.0,88.0,33.0,1480.0,355.0
2011-08-29,1361.0,57.0,42.0,1776.0,333.0
2011-09-05,1125.0,67.0,33.0,1551.0,394.0
2011-09-12,1316.0,84.0,32.0,1629.0,453.0
2011-09-19,1480.0,65.0,31.0,1657.0,497.0
2011-09-26,1252.0,61.0,34.0,1443.0,436.0
2011-10-03,1470.0,89.0,33.0,1582.0,410.0
2011-10-10,1374.0,104.0,31.0,1394.0,463.0
2011-10-17,1277.0,99.0,30.0,1493.0,513.0
2011-10-24,1336.0,111.0,34.0,1144.0,428.0
2011-10-31,1773.0,85.0,24.0,1377.0,567.0
2011-11-07,1189.0,63.0,24.0,1437.0,422.0
2011-11-14,1591.0,96.0,34.0,1771.0,484.0
2011-11-21,1338.0,70.0,38.0,1364.0,374.0
2011-11-28,1619.0,76.0,40.0,1492.0,455.0
2011-12-05,1757.0,89.0,28.0,1463.0,363.0
2011-12-12,1659.0,58.0,35.0,1480.0,335.0
2011-12-19,844.0,49.0,41.0,1274.0,245.0
2011-12-26,1128.0,25.0,32.0,1260.0,328.0
2012-01-02,1187.0,64.0,42.0,1335.0,301.0
2012-01-09,1192.0,107.0,42.0,1393.0,429.0
2012-01-16,1089.0,95.0,29.0,1571.0,370.0
2012-01-23,1108.0,81.0,28.0,1548.0,424.0
2012-01-30,1107.0,92.0,28.0,1365.0,468.0
2012-02-06,994.0,79.0,28.0,1438.0,476.0
2012-02-13,965.0,66.0,31.0,1648.0,448.0
2012-02-20,1294.0,80.0,31.0,1422.0,536.0
2012-02-27,1070.0,64.0,31.0,1464.0,401.0
2012-03-05,1031.0,73.0,31.0,1317.0,411.0
2012-03-12,1238.0,86.0,40.0,1492.0,413.0
2012-03-19,1164.0,70.0,48.0,1706.0,474.0
2012-03-26,1459.0,88.0,66.0,1486.0,543.0
2012-04-02,1206.0,70.0,85.0,1517.0,479.0
2012-04-09,1274.0,76.0,38.0,1517.0,533.0
2012-04-16,1428.0,104.0,34.0,1602.0,769.0
2012-04-23,1139.0,113.0,30.0,1461.0,633.0
2012-04-30,1106.0,162.0,32.0,1678.0,494.0
2012-05-07,923.0,86.0,25.0,1931.0,463.0
2012-05-14,1031.0,126.0,32.0,1626.0,431.0
2012-05-21,1079.0,159.0,23.0,1494.0,401.0
2012-05-28,1040.0,90.0,15.0,1512.0,418.0
2012-06-04,949.0,173.0,24.0,1347.0,390.0
2012-06-11,1000.0,127.0,32.0,1420.0,382.0
2012-06-18,1178.0,86.0,39.0,1392.0,441.0
2012-06-25,1325.0,59.0,28.0,1342.0,435.0
2012-07-02,991.0,57.0,25.0,1256.0,319.0
2012-07-09,1057.0,63.0,29.0,1280.0,422.0
2012-07-16,866.0,75.0,18.0,1325.0,409.0
2012-07-23,977.0,75.0,22.0,1262.0,355.0
2012-07-30,1017.0,49.0,20.0,1324.0,383.0
2012-08-06,1232.0,69.0,19.0,1369.0,341.0
2012-08-13,1252.0,47.0,38.0,1298.0,319.0
2012-08-20,995.0,51.0,22.0,1469.0,341.0
2012-08-27,991.0,46.0,33.0,1450.0,313.0
2012-09-03,1022.0,46.0,30.0,1299.0,339.0
2012-09-10,1066.0,45.0,30.0,1365.0,388.0
2012-09-17,1184.0,66.0,25.0,1674.0,453.0
2012-09-24,1004.0,125.0,18.0,1442.0,424.0
2012-10-01,1029.0,76.0,32.0,1281.0,404.0
2012-10-08,1080.0,81.0,27.0,1630.0,402.0
2012-10-15,1223.0,84.0,20.0,1576.0,368.0
2012-10-22,1290.0,56.0,23.0,1637.0,338.0
