,Date,climate change matches,corporate governance matches,ESG matches,social responsibility matches,sustainability matches
116,2011-04-27,171,9,4,235,94
117,2011-04-28,179,6,5,215,86
118,2011-04-29,212,12,12,145,82
119,2011-04-30,166,13,10,182,64
120,2011-05-01,232,6,12,395,128
121,2011-05-02,99,4,2,136,40
122,2011-05-03,182,6,3,121,32
123,2011-05-04,324,8,3,202,71
124,2011-05-05,161,6,5,216,79
125,2011-05-06,176,5,1,186,64
126,2011-05-07,162,12,6,173,47
127,2011-05-08,215,15,6,380,69
128,2011-05-09,108,10,3,163,23
129,2011-05-10,163,5,3,153,67
130,2011-05-11,192,12,4,211,78
131,2011-05-12,153,9,2,198,94
132,2011-05-13,217,1,5,147,65
133,2011-05-14,215,11,,268,44
134,2011-05-15,208,15,4,373,65
135,2011-05-16,171,4,2,136,42
136,2011-05-17,116,4,3,182,36
137,2011-05-18,154,5,3,302,88
138,2011-05-19,194,8,5,267,86
139,2011-05-20,244,5,11,193,75
140,2011-05-21,161,8,4,168,56
141,2011-05-22,206,13,6,349,79
142,2011-05-23,92,8,2,201,29
143,2011-05-24,138,5,1,219,38
144,2011-05-25,159,8,2,230,57
145,2011-05-26,250,28,5,235,55
146,2011-05-27,189,8,4,211,54
147,2011-05-28,186,15,2,134,66
148,2011-05-29,236,25,5,352,67
149,2011-05-30,174,3,2,147,31
150,2011-05-31,261,8,6,173,40
151,2011-06-01,233,15,7,195,76
152,2011-06-02,210,54,2,231,76
153,2011-06-03,166,6,9,219,64
154,2011-06-04,205,26,3,200,79
155,2011-06-05,140,12,8,358,100
156,2011-06-06,129,11,2,178,31
157,2011-06-07,148,8,5,251,48
158,2011-06-08,150,6,12,229,73
159,2011-06-09,346,11,2,190,80
160,2011-06-10,163,8,7,163,55
161,2011-06-11,180,15,5,173,45
162,2011-06-12,336,31,12,355,83
163,2011-06-13,243,12,3,228,35
164,2011-06-14,212,10,3,163,54
165,2011-06-15,230,8,9,242,82
166,2011-06-16,198,7,2,197,94
167,2011-06-17,145,7,10,205,55
168,2011-06-18,169,8,,244,36
169,2011-06-19,243,17,8,428,78
170,2011-06-20,133,6,3,159,40
171,2011-06-21,283,13,7,150,38
172,2011-06-22,208,8,3,270,101
173,2011-06-23,218,5,12,283,59
174,2011-06-24,188,6,5,193,40
175,2011-06-25,69,14,3,188,41
176,2011-06-26,282,12,10,416,80
177,2011-06-27,211,5,,191,45
178,2011-06-28,146,3,4,179,50
179,2011-06-29,237,7,4,245,70
180,2011-06-30,154,15,2,190,105
181,2011-07-01,148,8,7,174,40
182,2011-07-02,163,11,5,216,44
183,2011-07-03,258,15,3,288,88
184,2011-07-04,169,7,1,95,27
185,2011-07-05,171,13,,124,20
186,2011-07-06,133,14,2,191,68
187,2011-07-07,126,12,4,177,62
188,2011-07-08,140,17,1,204,47
189,2011-07-09,133,10,3,187,44
190,2011-07-10,197,10,3,387,60
191,2011-07-11,107,5,6,153,27
192,2011-07-12,89,13,1,149,46
193,2011-07-13,108,14,1,354,97
194,2011-07-14,171,14,5,302,101
195,2011-07-15,161,10,2,252,67
196,2011-07-16,139,3,1,250,48
197,2011-07-17,190,26,15,412,90
198,2011-07-18,117,3,4,285,32
199,2011-07-19,159,16,1,158,29
200,2011-07-20,212,28,5,344,59
201,2011-07-21,185,22,3,260,88
202,2011-07-22,177,11,6,266,73
203,2011-07-23,150,13,5,230,57
204,2011-07-24,180,12,5,382,63
205,2011-07-25,103,7,7,173,31
206,2011-07-26,166,14,2,178,46
207,2011-07-27,162,20,,247,50
208,2011-07-28,146,17,9,231,77
209,2011-07-29,213,10,5,238,46
210,2011-07-30,264,6,3,239,42
211,2011-07-31,229,11,2,379,0
212,2011-08-01,117,3,,165,31
213,2011-08-02,148,8,4,179,36
214,2011-08-03,126,8,3,271,71
215,2011-08-04,122,12,2,163,54
216,2011-08-05,198,2,4,171,67
217,2011-08-06,153,10,2,174,65
218,2011-08-07,263,16,3,380,135
219,2011-08-08,188,7,1,154,47
220,2011-08-09,126,8,2,191,75
221,2011-08-10,134,11,6,279,84
222,2011-08-11,139,10,3,252,55
223,2011-08-12,133,17,3,246,84
224,2011-08-13,167,11,1,173,66
225,2011-08-14,255,16,2,494,88
226,2011-08-15,125,5,6,204,45
227,2011-08-16,178,11,1,228,91
228,2011-08-17,109,16,43,221,74
229,2011-08-18,294,13,7,237,54
230,2011-08-19,291,8,5,181,55
231,2011-08-20,162,29,3,259,47
232,2011-08-21,287,15,6,349,65
233,2011-08-22,134,6,6,183,34
234,2011-08-23,124,11,,166,35
235,2011-08-24,176,3,9,208,72
236,2011-08-25,214,10,4,195,65
237,2011-08-26,198,7,3,179,38
238,2011-08-27,249,10,5,225,42
239,2011-08-28,341,41,6,324,69
240,2011-08-29,191,6,3,151,29
241,2011-08-30,146,6,11,315,42
242,2011-08-31,182,5,2,286,48
243,2011-09-01,212,9,12,273,53
244,2011-09-02,155,8,6,187,47
245,2011-09-03,188,13,3,207,52
246,2011-09-04,287,10,5,357,62
247,2011-09-05,133,3,2,124,25
248,2011-09-06,83,7,2,137,36
249,2011-09-07,139,16,8,188,65
250,2011-09-08,218,11,4,277,76
251,2011-09-09,181,5,3,340,73
252,2011-09-10,168,15,7,200,49
253,2011-09-11,203,10,7,285,70
254,2011-09-12,85,14,4,222,35
255,2011-09-13,146,22,4,149,45
256,2011-09-14,148,9,3,253,81
257,2011-09-15,189,9,6,263,75
258,2011-09-16,235,3,7,179,67
259,2011-09-17,197,12,5,201,65
260,2011-09-18,316,15,3,362,85
261,2011-09-19,106,7,3,189,40
262,2011-09-20,14,11,5,240,33
263,2011-09-21,189,11,4,239,86
264,2011-09-22,216,10,1,202,90
265,2011-09-23,301,6,8,44,75
266,2011-09-24,212,5,3,369,78
267,2011-09-25,442,15,7,374,95
268,2011-09-26,131,6,7,125,35
269,2011-09-27,126,4,2,200,40
270,2011-09-28,168,9,5,233,78
271,2011-09-29,218,15,3,195,72
272,2011-09-30,174,11,4,186,71
273,2011-10-01,175,1,5,161,44
274,2011-10-02,260,15,8,343,96
275,2011-10-03,307,7,5,174,41
276,2011-10-04,138,6,2,166,2
277,2011-10-05,158,27,3,222,77
278,2011-10-06,172,8,9,221,73
279,2011-10-07,245,10,9,203,65
280,2011-10-08,224,18,3,236,47
281,2011-10-09,226,13,2,360,105
282,2011-10-10,172,9,2,114,26
283,2011-10-11,167,15,7,160,50
284,2011-10-12,178,19,9,198,70
285,2011-10-13,230,7,9,210,105
286,2011-10-14,205,21,2,185,58
287,2011-10-15,172,16,,187,64
288,2011-10-16,250,17,2,340,90
289,2011-10-17,144,16,4,146,31
290,2011-10-18,125,9,4,181,30
291,2011-10-19,171,8,3,202,81
292,2011-10-20,226,11,6,215,108
293,2011-10-21,227,15,2,274,100
294,2011-10-22,172,18,4,162,60
295,2011-10-23,212,22,7,313,103
296,2011-10-24,92,10,2,171,52
297,2011-10-25,145,11,4,120,43
298,2011-10-26,177,15,3,153,66
299,2011-10-27,276,21,6,193,51
300,2011-10-28,192,16,10,64,75
301,2011-10-29,235,6,2,131,67
302,2011-10-30,219,32,7,312,74
303,2011-10-31,275,7,1,145,47
304,2011-11-01,138,5,5,164,45
305,2011-11-02,380,19,1,161,83
306,2011-11-03,231,10,2,208,125
307,2011-11-04,314,13,6,160,105
308,2011-11-05,175,24,4,221,74
309,2011-11-06,260,7,5,318,88
310,2011-11-07,144,5,1,151,35
311,2011-11-08,112,10,1,175,36
312,2011-11-09,183,13,3,201,54
313,2011-11-10,174,5,1,224,80
314,2011-11-11,168,18,1,149,52
315,2011-11-12,168,4,9,186,59
316,2011-11-13,240,8,8,351,106
317,2011-11-14,155,12,2,201,38
318,2011-11-15,113,31,1,176,52
319,2011-11-16,223,13,5,247,75
320,2011-11-17,230,13,7,226,85
321,2011-11-18,301,7,2,238,49
322,2011-11-19,305,6,6,254,83
323,2011-11-20,264,14,11,429,102
324,2011-11-21,142,6,4,141,39
325,2011-11-22,215,10,2,262,50
326,2011-11-23,227,7,2,200,61
327,2011-11-24,174,18,9,146,67
328,2011-11-25,153,9,12,170,48
329,2011-11-26,212,5,6,156,42
330,2011-11-27,215,15,3,289,67
331,2011-11-28,187,6,7,162,28
332,2011-11-29,185,8,2,157,48
333,2011-11-30,180,11,5,193,80
334,2011-12-01,276,6,6,204,74
335,2011-12-02,182,13,8,187,55
336,2011-12-03,162,16,7,203,106
337,2011-12-04,447,16,5,386,64
338,2011-12-05,169,6,2,145,28
339,2011-12-06,178,12,,161,38
340,2011-12-07,215,17,1,190,74
341,2011-12-08,327,11,8,226,91
342,2011-12-09,245,8,7,197,49
343,2011-12-10,236,19,6,154,30
344,2011-12-11,387,16,4,390,53
345,2011-12-12,327,4,4,186,23
346,2011-12-13,242,11,3,166,35
347,2011-12-14,215,12,2,263,69
348,2011-12-15,303,11,2,175,72
349,2011-12-16,194,8,16,176,28
350,2011-12-17,169,4,4,189,47
351,2011-12-18,209,8,4,325,61
352,2011-12-19,106,5,,159,25
353,2011-12-20,82,10,6,145,27
354,2011-12-21,177,10,12,187,31
355,2011-12-22,119,6,3,230,38
356,2011-12-23,111,7,8,143,29
357,2011-12-24,96,5,5,170,29
358,2011-12-25,153,6,7,240,66
359,2011-12-26,90,5,7,121,36
360,2011-12-27,130,,3,142,29
361,2011-12-28,167,5,1,172,47
362,2011-12-29,171,6,4,215,50
363,2011-12-30,132,2,7,188,41
364,2011-12-31,150,2,3,134,36
