,Date,climate change matches,corporate governance matches,ESG matches,social responsibility matches,sustainability matches
0,2011-01-01,193,4,5,225,35
1,2011-01-02,309,11,5,375,102
2,2011-01-03,122,2,3,182,22
3,2011-01-04,186,9,3,161,26
4,2011-01-05,187,6,5,241,39
5,2011-01-06,209,7,8,310,70
6,2011-01-07,200,11,9,224,66
7,2011-01-08,212,8,5,174,62
8,2011-01-09,333,35,8,528,79
9,2011-01-10,221,10,4,185,31
10,2011-01-11,195,14,2,168,43
11,2011-01-12,189,11,5,259,61
12,2011-01-13,343,9,6,209,71
13,2011-01-14,213,6,6,173,61
14,2011-01-15,227,5,5,257,45
15,2011-01-16,332,16,6,411,101
16,2011-01-17,131,8,2,149,31
17,2011-01-18,187,6,3,193,51
18,2011-01-19,193,11,9,292,55
19,2011-01-20,238,19,5,285,63
20,2011-01-21,277,11,9,306,121
21,2011-01-22,239,14,7,173,56
22,2011-01-23,304,17,7,470,74
23,2011-01-24,216,2,4,166,30
24,2011-01-25,246,13,4,231,35
25,2011-01-26,283,13,7,359,76
26,2011-01-27,226,17,2,374,86
27,2011-01-28,251,9,6,223,52
28,2011-01-29,186,12,3,273,71
29,2011-01-30,298,13,9,477,70
30,2011-01-31,160,10,,126,33
31,2011-02-01,134,9,7,164,40
32,2011-02-02,204,5,4,233,68
33,2011-02-03,209,5,8,188,100
34,2011-02-04,157,9,2,167,72
35,2011-02-05,199,11,3,173,60
36,2011-02-06,237,16,5,393,63
37,2011-02-07,161,8,1,159,34
38,2011-02-08,159,9,2,211,45
39,2011-02-09,219,6,10,349,85
40,2011-02-10,243,12,7,200,93
41,2011-02-11,217,9,3,203,58
42,2011-02-12,176,15,6,227,64
43,2011-02-13,315,19,6,455,68
44,2011-02-14,137,11,3,159,23
45,2011-02-15,184,17,3,238,56
46,2011-02-16,267,12,8,338,66
47,2011-02-17,320,8,3,241,85
48,2011-02-18,151,12,9,318,57
49,2011-02-19,296,6,7,240,66
50,2011-02-20,319,12,9,477,80
51,2011-02-21,109,2,5,216,44
52,2011-02-22,183,2,,189,49
53,2011-02-23,165,12,13,225,68
54,2011-02-24,237,10,3,240,85
55,2011-02-25,193,11,3,163,48
56,2011-02-26,157,12,7,220,78
57,2011-02-27,262,16,17,417,118
58,2011-02-28,114,15,4,183,49
59,2011-03-01,152,9,4,203,38
60,2011-03-02,204,20,4,197,89
61,2011-03-03,199,10,9,202,87
62,2011-03-04,193,9,4,185,70
63,2011-03-05,348,16,4,200,63
64,2011-03-06,235,14,6,444,76
65,2011-03-07,88,7,5,130,47
66,2011-03-08,137,10,3,300,51
67,2011-03-09,184,10,12,205,75
68,2011-03-10,194,9,14,209,82
69,2011-03-11,168,17,9,148,56
70,2011-03-12,155,4,4,20,72
71,2011-03-13,208,16,6,369,100
72,2011-03-14,182,4,4,198,53
73,2011-03-15,150,10,6,148,38
74,2011-03-16,168,10,4,282,125
75,2011-03-17,233,4,4,200,92
76,2011-03-18,169,6,6,155,71
77,2011-03-19,156,11,3,184,80
78,2011-03-20,327,15,2,412,91
79,2011-03-21,115,10,1,134,36
80,2011-03-22,143,9,4,224,39
81,2011-03-23,213,2,8,214,82
82,2011-03-24,212,9,6,247,96
83,2011-03-25,190,13,18,265,66
84,2011-03-26,238,13,4,196,71
85,2011-03-27,354,14,11,380,99
86,2011-03-28,140,5,3,166,35
87,2011-03-29,125,10,7,255,35
88,2011-03-30,178,13,4,220,91
89,2011-03-31,192,16,2,210,84
90,2011-04-01,166,10,7,148,67
91,2011-04-02,161,21,2,189,58
92,2011-04-03,259,21,10,546,104
93,2011-04-04,173,4,1,159,45
94,2011-04-05,158,13,1,171,48
95,2011-04-06,207,6,2,319,55
96,2011-04-07,298,15,5,295,68
97,2011-04-08,178,12,4,208,61
98,2011-04-09,190,8,3,206,62
99,2011-04-10,312,6,3,394,92
100,2011-04-11,102,14,3,149,37
101,2011-04-12,119,13,,177,41
102,2011-04-13,204,12,3,221,92
103,2011-04-14,198,12,4,265,136
104,2011-04-15,161,10,35,169,84
105,2011-04-16,176,5,5,232,79
106,2011-04-17,261,19,5,438,131
107,2011-04-18,171,6,1,37,64
108,2011-04-19,163,8,1,230,67
109,2011-04-20,260,15,7,243,175
110,2011-04-21,256,16,6,308,169
111,2011-04-22,264,4,8,222,143
112,2011-04-23,140,12,4,172,61
113,2011-04-24,213,15,6,333,119
114,2011-04-25,101,9,4,126,40
115,2011-04-26,180,14,3,127,53
