,Date,climate change matches,corporate governance matches,ESG matches,social responsibility matches,sustainability matches
0,2010-01-01,312,4,3,112,57
1,2010-01-02,334,7,5,169,58
2,2010-01-03,415,6,6,257,102
3,2010-01-04,160,5,6,138,34
4,2010-01-05,158,7,8,117,21
5,2010-01-06,247,10,6,257,82
6,2010-01-07,486,10,13,206,61
7,2010-01-08,293,1,9,163,50
8,2010-01-09,228,8,2,294,130
9,2010-01-10,0,18,2,385,91
10,2010-01-11,248,5,3,143,30
11,2010-01-12,226,3,,146,36
12,2010-01-13,236,15,11,219,107
13,2010-01-14,229,4,2,181,84
14,2010-01-15,232,12,7,170,93
15,2010-01-16,285,10,3,247,71
16,2010-01-17,298,13,,378,71
17,2010-01-18,185,6,1,169,42
18,2010-01-19,257,5,4,199,38
19,2010-01-20,335,17,5,227,60
20,2010-01-21,247,8,3,213,69
21,2010-01-22,275,12,5,173,65
22,2010-01-23,323,10,4,144,67
23,2010-01-24,397,42,35,379,96
24,2010-01-25,258,7,3,98,36
25,2010-01-26,214,13,2,162,38
26,2010-01-27,336,11,9,45,26
27,2010-01-28,411,13,4,228,82
28,2010-01-29,363,17,4,153,61
29,2010-01-30,424,8,3,179,89
30,2010-01-31,425,18,6,384,86
31,2010-02-01,243,11,2,132,46
32,2010-02-02,152,7,8,184,45
33,2010-02-03,248,12,6,208,56
34,2010-02-04,338,11,4,288,73
35,2010-02-05,305,52,8,178,98
36,2010-02-06,220,11,7,200,61
37,2010-02-07,275,13,10,351,89
38,2010-02-08,149,7,6,101,58
39,2010-02-09,265,20,2,159,55
40,2010-02-10,301,13,12,203,111
41,2010-02-11,365,16,3,246,103
42,2010-02-12,236,10,11,178,85
43,2010-02-13,306,15,7,169,54
44,2010-02-14,370,16,4,347,83
45,2010-02-15,176,4,2,137,52
46,2010-02-16,214,9,1,122,57
47,2010-02-17,257,14,1,227,71
48,2010-02-18,270,14,6,243,102
49,2010-02-19,377,19,4,282,78
50,2010-02-20,322,13,7,199,64
51,2010-02-21,433,20,4,413,76
52,2010-02-22,331,7,3,165,43
53,2010-02-23,194,9,1,176,35
54,2010-02-24,199,14,5,268,64
55,2010-02-25,251,10,3,222,93
56,2010-02-26,231,3,8,177,85
57,2010-02-27,221,20,3,223,83
58,2010-02-28,447,24,10,442,80
59,2010-03-01,150,9,5,180,46
60,2010-03-02,169,18,5,231,47
61,2010-03-03,255,13,3,203,77
62,2010-03-04,238,14,7,273,74
63,2010-03-05,280,22,11,121,74
64,2010-03-06,246,9,8,155,68
65,2010-03-07,366,35,10,370,78
66,2010-03-08,173,8,13,163,40
67,2010-03-09,194,5,8,139,37
68,2010-03-10,258,13,4,222,107
69,2010-03-11,292,10,1,183,94
70,2010-03-12,265,8,11,153,65
71,2010-03-13,197,6,7,217,53
72,2010-03-14,379,30,22,452,109
73,2010-03-15,161,18,4,115,32
74,2010-03-16,181,43,7,173,66
75,2010-03-17,230,12,4,232,82
76,2010-03-18,255,9,5,242,89
77,2010-03-19,264,10,10,167,52
78,2010-03-20,216,2,3,206,58
79,2010-03-21,283,15,6,488,82
80,2010-03-22,223,6,6,207,29
81,2010-03-23,162,9,7,299,47
82,2010-03-24,183,11,6,250,83
83,2010-03-25,307,30,5,259,78
84,2010-03-26,255,14,1,193,85
85,2010-03-27,280,11,2,195,69
86,2010-03-28,681,16,3,434,86
87,2010-03-29,140,13,6,148,52
88,2010-03-30,178,12,10,179,51
89,2010-03-31,258,12,7,199,79
90,2010-04-01,479,10,21,205,90
91,2010-04-02,233,13,10,152,50
92,2010-04-03,191,7,4,171,63
93,2010-04-04,357,19,10,350,83
94,2010-04-05,264,3,8,193,43
95,2010-04-06,145,7,1,123,36
96,2010-04-07,144,8,2,228,82
97,2010-04-08,297,9,4,203,80
98,2010-04-09,271,15,10,176,94
99,2010-04-10,180,7,3,194,76
100,2010-04-11,367,19,5,439,105
101,2010-04-12,211,10,5,200,38
102,2010-04-13,141,7,4,210,60
103,2010-04-14,165,5,1,79,105
104,2010-04-15,322,11,4,242,125
105,2010-04-16,211,9,7,181,93
106,2010-04-17,294,4,7,161,91
107,2010-04-18,521,,5,396,100
108,2010-04-19,173,5,1,166,80
109,2010-04-20,188,9,1,137,76
110,2010-04-21,260,20,7,258,177
111,2010-04-22,603,14,4,194,207
112,2010-04-23,403,14,7,233,100
113,2010-04-24,247,6,7,184,110
114,2010-04-25,441,15,4,441,119
115,2010-04-26,206,13,2,181,49
116,2010-04-27,169,10,3,187,56
117,2010-04-28,303,7,3,255,112
118,2010-04-29,281,16,2,227,85
119,2010-04-30,329,4,5,250,49
120,2010-05-01,211,10,7,155,84
121,2010-05-02,318,15,10,440,119
122,2010-05-03,181,5,1,158,38
123,2010-05-04,177,2,12,142,38
124,2010-05-05,202,6,3,272,81
125,2010-05-06,224,12,4,335,84
126,2010-05-07,206,15,3,186,66
127,2010-05-08,260,3,3,152,66
128,2010-05-09,271,19,5,402,106
129,2010-05-10,141,29,4,161,63
130,2010-05-11,142,16,4,146,32
131,2010-05-12,214,8,4,327,30
132,2010-05-13,282,24,4,194,61
133,2010-05-14,234,11,14,239,82
134,2010-05-15,214,18,11,238,
135,2010-05-16,363,1,4,428,86
136,2010-05-17,142,5,5,158,37
137,2010-05-18,183,10,2,147,62
138,2010-05-19,203,8,5,255,69
139,2010-05-20,399,11,11,207,72
140,2010-05-21,197,9,7,155,64
141,2010-05-22,224,11,3,176,81
142,2010-05-23,339,25,4,491,84
143,2010-05-24,119,6,2,148,44
144,2010-05-25,281,6,3,133,41
145,2010-05-26,212,7,3,229,97
146,2010-05-27,268,6,8,239,94
147,2010-05-28,230,14,5,184,86
148,2010-05-29,178,9,4,181,75
149,2010-05-30,240,33,7,393,81
150,2010-05-31,238,8,1,120,27
151,2010-06-01,157,14,9,130,65
152,2010-06-02,296,8,6,193,80
153,2010-06-03,194,8,4,197,84
154,2010-06-04,190,12,10,212,57
155,2010-06-05,187,9,4,189,70
156,2010-06-06,318,22,9,319,129
157,2010-06-07,183,5,1,166,54
158,2010-06-08,141,14,7,175,33
159,2010-06-09,203,14,10,246,68
160,2010-06-10,247,17,9,161,77
161,2010-06-11,430,5,18,176,75
162,2010-06-12,185,9,6,149,64
163,2010-06-13,330,11,15,360,101
164,2010-06-14,134,8,1,152,45
165,2010-06-15,193,9,9,171,38
166,2010-06-16,331,9,5,211,72
167,2010-06-17,285,26,9,190,89
168,2010-06-18,193,6,9,166,60
169,2010-06-19,257,11,5,234,88
170,2010-06-20,322,10,9,483,58
171,2010-06-21,169,8,1,150,28
172,2010-06-22,143,11,5,174,39
173,2010-06-23,225,14,7,230,70
174,2010-06-24,307,16,9,196,123
175,2010-06-25,218,10,7,160,65
176,2010-06-26,180,17,6,189,70
177,2010-06-27,308,12,6,393,125
178,2010-06-28,153,8,7,142,50
179,2010-06-29,162,11,4,151,28
180,2010-06-30,199,8,3,233,91
181,2010-07-01,172,18,3,181,59
182,2010-07-02,277,6,3,217,45
183,2010-07-03,115,8,2,177,56
184,2010-07-04,226,8,11,380,64
185,2010-07-05,110,3,,113,27
186,2010-07-06,244,3,3,188,37
187,2010-07-07,212,14,6,196,76
188,2010-07-08,319,7,6,193,57
189,2010-07-09,238,5,4,140,45
190,2010-07-10,248,5,5,180,73
191,2010-07-11,321,12,2,397,77
192,2010-07-12,152,6,2,98,33
193,2010-07-13,169,10,1,191,39
194,2010-07-14,177,7,4,248,61
195,2010-07-15,201,13,3,255,67
196,2010-07-16,206,10,8,178,44
197,2010-07-17,155,3,7,157,76
198,2010-07-18,289,14,15,377,91
199,2010-07-19,110,2,3,110,35
200,2010-07-20,177,4,9,172,69
201,2010-07-21,349,9,8,252,77
202,2010-07-22,190,4,14,157,72
203,2010-07-23,213,11,21,191,75
204,2010-07-24,170,11,18,210,64
205,2010-07-25,269,44,6,388,112
206,2010-07-26,131,9,17,174,34
207,2010-07-27,188,7,7,155,38
208,2010-07-28,201,12,5,228,57
209,2010-07-29,236,5,7,196,63
210,2010-07-30,222,5,4,193,41
211,2010-07-31,182,4,4,157,63
212,2010-08-01,254,12,8,333,74
213,2010-08-02,137,5,1,111,31
214,2010-08-03,154,5,4,146,53
215,2010-08-04,128,10,4,197,49
216,2010-08-05,225,5,,169,60
217,2010-08-06,202,4,4,163,43
218,2010-08-07,223,5,5,181,60
219,2010-08-08,217,16,23,381,73
220,2010-08-09,107,2,5,185,35
221,2010-08-10,195,66,3,146,38
222,2010-08-11,271,5,6,159,41
223,2010-08-12,268,3,4,178,56
224,2010-08-13,319,10,5,194,52
225,2010-08-14,205,23,28,125,50
226,2010-08-15,229,10,10,365,66
227,2010-08-16,120,7,1,160,45
228,2010-08-17,150,6,3,138,30
229,2010-08-18,154,9,,235,50
230,2010-08-19,198,12,8,173,63
231,2010-08-20,207,2,36,174,68
232,2010-08-21,166,12,4,160,79
233,2010-08-22,236,19,31,355,96
234,2010-08-23,97,13,7,146,36
235,2010-08-24,129,10,4,139,52
236,2010-08-25,189,9,5,259,16
237,2010-08-26,184,19,4,211,87
238,2010-08-27,164,6,7,209,50
239,2010-08-28,238,8,2,166,50
240,2010-08-29,285,11,5,412,83
241,2010-08-30,137,3,3,161,37
242,2010-08-31,166,6,9,204,17
243,2010-09-01,156,7,4,275,73
244,2010-09-02,135,11,5,223,70
245,2010-09-03,153,5,3,165,46
246,2010-09-04,162,7,4,173,58
247,2010-09-05,320,18,6,302,98
248,2010-09-06,113,6,5,137,26
249,2010-09-07,150,7,5,184,41
250,2010-09-08,193,14,11,250,91
251,2010-09-09,197,8,9,236,68
252,2010-09-10,157,5,7,210,60
253,2010-09-11,148,10,4,219,65
254,2010-09-12,268,7,10,358,82
255,2010-09-13,139,6,5,144,38
256,2010-09-14,124,6,3,172,65
257,2010-09-15,177,6,3,252,95
258,2010-09-16,250,10,5,194,96
259,2010-09-17,234,8,8,159,83
260,2010-09-18,195,6,3,141,60
261,2010-09-19,301,13,7,411,80
262,2010-09-20,130,9,2,190,48
263,2010-09-21,185,8,6,233,5
264,2010-09-22,207,9,6,271,86
265,2010-09-23,209,9,4,260,121
266,2010-09-24,261,6,,193,85
267,2010-09-25,222,45,3,236,85
268,2010-09-26,424,20,15,383,101
269,2010-09-27,149,8,10,115,49
270,2010-09-28,142,19,1,183,50
271,2010-09-29,178,10,8,254,78
272,2010-09-30,223,8,5,286,79
273,2010-10-01,183,8,8,334,57
274,2010-10-02,175,7,4,176,61
275,2010-10-03,374,16,3,465,100
276,2010-10-04,142,6,5,332,42
277,2010-10-05,182,6,4,193,69
278,2010-10-06,213,9,1,241,88
279,2010-10-07,260,5,11,233,85
280,2010-10-08,207,7,47,211,63
281,2010-10-09,229,5,4,178,35
282,2010-10-10,440,6,7,418,95
283,2010-10-11,180,12,1,237,45
284,2010-10-12,199,5,3,192,39
285,2010-10-13,247,12,5,184,79
286,2010-10-14,257,11,12,248,87
287,2010-10-15,241,10,9,241,77
288,2010-10-16,292,15,8,214,74
289,2010-10-17,355,33,5,366,137
290,2010-10-18,170,9,4,120,43
291,2010-10-19,153,7,5,161,51
292,2010-10-20,238,13,6,264,85
293,2010-10-21,310,6,5,250,95
294,2010-10-22,309,16,4,195,70
295,2010-10-23,214,7,,220,58
296,2010-10-24,380,11,6,442,87
297,2010-10-25,203,7,1,214,45
298,2010-10-26,221,16,2,175,37
299,2010-10-27,222,12,1,226,104
300,2010-10-28,252,10,7,267,96
301,2010-10-29,261,13,6,194,79
302,2010-10-30,224,12,3,236,53
303,2010-10-31,392,28,8,420,116
304,2010-11-01,151,28,4,248,40
305,2010-11-02,141,9,4,179,39
306,2010-11-03,274,17,5,270,84
307,2010-11-04,315,12,6,290,53
308,2010-11-05,226,29,3,214,53
309,2010-11-06,176,8,4,185,59
310,2010-11-07,371,29,5,463,86
311,2010-11-08,283,11,4,178,36
312,2010-11-09,162,5,4,183,41
313,2010-11-10,179,11,3,240,64
314,2010-11-11,206,11,3,283,75
315,2010-11-12,210,3,2,183,44
316,2010-11-13,175,7,3,227,48
317,2010-11-14,331,16,3,453,92
318,2010-11-15,125,2,2,152,31
319,2010-11-16,177,11,7,193,50
320,2010-11-17,210,12,12,261,58
321,2010-11-18,226,7,6,255,91
322,2010-11-19,224,10,12,178,55
323,2010-11-20,144,11,5,197,53
324,2010-11-21,384,13,1,385,60
325,2010-11-22,154,5,3,143,34
326,2010-11-23,123,3,2,167,40
327,2010-11-24,143,7,3,202,61
328,2010-11-25,268,8,2,202,64
329,2010-11-26,217,6,2,182,43
330,2010-11-27,172,7,4,181,60
331,2010-11-28,429,7,7,311,90
332,2010-11-29,193,6,6,119,20
333,2010-11-30,200,15,5,174,59
334,2010-12-01,244,12,5,237,54
335,2010-12-02,293,6,2,282,98
336,2010-12-03,376,6,7,156,83
337,2010-12-04,223,8,5,207,50
338,2010-12-05,396,12,3,321,112
339,2010-12-06,199,5,,154,30
340,2010-12-07,251,9,19,134,38
341,2010-12-08,250,10,8,263,82
342,2010-12-09,198,9,8,280,96
343,2010-12-10,218,5,6,208,54
344,2010-12-11,256,8,6,165,47
345,2010-12-12,413,23,6,407,102
346,2010-12-13,233,2,2,184,33
347,2010-12-14,196,5,1,182,36
348,2010-12-15,176,9,12,232,57
349,2010-12-16,328,12,7,206,76
350,2010-12-17,310,12,4,171,61
351,2010-12-18,173,5,1,261,58
352,2010-12-19,282,6,6,350,75
353,2010-12-20,184,9,,126,34
354,2010-12-21,355,,3,171,46
355,2010-12-22,203,9,5,190,76
356,2010-12-23,211,8,7,162,50
357,2010-12-24,200,4,2,152,21
358,2010-12-25,185,8,2,74,20
359,2010-12-26,308,17,3,319,48
360,2010-12-27,111,3,2,131,35
361,2010-12-28,227,7,1,169,31
362,2010-12-29,136,5,1,260,46
363,2010-12-30,250,3,2,217,78
364,2010-12-31,134,5,6,181,46
