,Date,climate change matches,corporate governance matches,ESG matches,social responsibility matches,sustainability matches
0,2013-01-01,128,8,,114,11
1,2013-01-02,129,4,2,201,55
2,2013-01-03,135,11,2,193,65
3,2013-01-04,138,5,2,140,40
4,2013-01-05,162,3,2,171,41
5,2013-01-06,167,9,1,322,76
6,2013-01-07,120,4,,126,27
7,2013-01-08,126,8,1,167,19
8,2013-01-09,331,17,5,198,39
9,2013-01-10,139,4,3,195,59
10,2013-01-11,176,14,9,227,50
11,2013-01-12,209,10,2,196,73
12,2013-01-13,241,12,3,342,78
13,2013-01-14,108,6,1,115,29
14,2013-01-15,106,9,,158,34
15,2013-01-16,263,6,4,240,63
16,2013-01-17,179,31,4,235,63
17,2013-01-18,155,3,3,162,40
18,2013-01-19,194,5,5,150,35
19,2013-01-20,218,11,5,306,64
20,2013-01-21,162,6,2,154,21
21,2013-01-22,452,6,3,189,35
22,2013-01-23,322,9,,294,48
23,2013-01-24,289,8,5,255,58
24,2013-01-25,331,16,1,189,34
25,2013-01-26,246,,1,209,39
26,2013-01-27,401,8,2,363,49
27,2013-01-28,206,9,2,169,37
28,2013-01-29,165,11,1,151,39
29,2013-01-30,237,8,3,239,71
30,2013-01-31,199,8,5,171,47
31,2013-02-01,167,1,1,181,52
32,2013-02-02,204,10,4,161,20
33,2013-02-03,Loading,14,2,338,65
34,2013-02-04,144,8,,113,18
35,2013-02-05,113,10,2,122,32
36,2013-02-06,202,6,1,219,78
37,2013-02-07,196,5,6,211,52
38,2013-02-08,178,6,3,119,47
39,2013-02-09,177,11,1,155,34
40,2013-02-10,339,10,2,251,53
41,2013-02-11,168,7,1,107,17
42,2013-02-12,165,13,2,131,31
43,2013-02-13,411,11,1,239,64
44,2013-02-14,305,8,3,203,48
45,2013-02-15,198,7,6,129,55
46,2013-02-16,210,7,1,141,45
47,2013-02-17,288,13,6,314,86
48,2013-02-18,218,2,1,116,30
49,2013-02-19,276,10,2,149,41
50,2013-02-20,197,12,5,230,90
51,2013-02-21,236,17,,192,65
52,2013-02-22,201,7,13,136,43
53,2013-02-23,171,41,3,144,49
54,2013-02-24,235,12,5,278,Loading
55,2013-02-25,138,4,2,112,42
56,2013-02-26,117,16,2,108,24
57,2013-02-27,209,13,4,220,78
58,2013-02-28,186,11,2,221,64
59,2013-03-01,134,15,7,165,57
60,2013-03-02,245,2,3,153,48
61,2013-03-03,292,11,5,305,65
62,2013-03-04,114,6,4,103,35
63,2013-03-05,302,17,4,155,38
64,2013-03-06,176,22,7,187,71
65,2013-03-07,148,26,8,188,74
66,2013-03-08,144,10,2,112,68
67,2013-03-09,161,18,1,133,43
68,2013-03-10,216,22,3,199,62
69,2013-03-11,108,7,2,112,26
70,2013-03-12,94,6,4,152,23
71,2013-03-13,153,10,5,231,1
72,2013-03-14,204,10,4,230,61
73,2013-03-15,172,10,4,28,44
74,2013-03-16,266,7,4,202,42
75,2013-03-17,240,18,7,298,
76,2013-03-18,91,6,4,136,31
77,2013-03-19,121,13,2,149,30
78,2013-03-20,188,9,3,259,56
79,2013-03-21,230,15,2,260,78
80,2013-03-22,167,15,4,220,47
81,2013-03-23,141,10,9,145,59
82,2013-03-24,218,41,5,361,96
83,2013-03-25,108,4,3,107,32
84,2013-03-26,125,12,9,146,50
85,2013-03-27,142,10,7,201,64
86,2013-03-28,187,22,2,293,70
87,2013-03-29,204,5,2,161,48
88,2013-03-30,170,3,15,187,52
89,2013-03-31,238,5,1,368,92
90,2013-04-01,112,8,7,127,33
91,2013-04-02,132,13,3,134,35
92,2013-04-03,139,13,4,207,73
93,2013-04-04,212,6,7,189,109
94,2013-04-05,162,13,5,159,61
95,2013-04-06,150,18,9,121,54
96,2013-04-07,243,16,5,364,62
97,2013-04-08,140,8,1,133,40
98,2013-04-09,90,10,2,131,44
99,2013-04-10,198,17,10,212,56
100,2013-04-11,238,20,,219,97
101,2013-04-12,203,11,6,156,54
102,2013-04-13,207,5,7,187,58
103,2013-04-14,254,11,3,370,115
104,2013-04-15,124,5,1,141,43
105,2013-04-16,129,11,1,178,32
106,2013-04-17,213,6,1,266,82
107,2013-04-18,191,9,2,225,111
108,2013-04-19,168,7,3,138,86
109,2013-04-20,159,12,3,187,60
110,2013-04-21,230,11,4,284,98
111,2013-04-22,44,3,4,127,61
112,2013-04-23,124,24,4,154,60
113,2013-04-24,152,7,3,230,77
