,Date,climate change matches,corporate governance matches,ESG matches,social responsibility matches,sustainability matches
0,2012-01-01,288,5,7,288,89
1,2012-01-02,96,3,3,114,32
2,2012-01-03,206,5,2,100,32
3,2012-01-04,151,8,15,176,56
4,2012-01-05,199,9,4,277,42
5,2012-01-06,141,8,7,209,39
6,2012-01-07,157,15,4,186,35
7,2012-01-08,237,16,7,273,65
8,2012-01-09,124,5,4,122,29
9,2012-01-10,127,14,3,138,96
10,2012-01-11,212,22,21,207,88
11,2012-01-12,204,17,3,205,47
12,2012-01-13,192,8,1,148,48
13,2012-01-14,145,9,7,208,50
14,2012-01-15,188,32,3,365,71
15,2012-01-16,94,10,4,153,31
16,2012-01-17,109,23,2,191,47
17,2012-01-18,143,10,4,228,63
18,2012-01-19,202,10,4,183,74
19,2012-01-20,182,7,5,195,58
20,2012-01-21,129,15,7,227,41
21,2012-01-22,230,20,3,394,56
22,2012-01-23,89,9,3,121,41
23,2012-01-24,117,21,4,198,35
24,2012-01-25,171,12,6,258,54
25,2012-01-26,244,4,1,202,78
26,2012-01-27,165,10,7,222,75
27,2012-01-28,118,10,3,173,67
28,2012-01-29,204,15,4,374,74
29,2012-01-30,87,4,,129,32
30,2012-01-31,141,5,1,158,49
31,2012-02-01,136,11,9,226,95
32,2012-02-02,216,10,2,200,87
33,2012-02-03,167,23,8,165,85
34,2012-02-04,166,27,4,191,56
35,2012-02-05,194,12,4,296,64
36,2012-02-06,73,9,5,155,52
37,2012-02-07,85,13,1,205,47
38,2012-02-08,142,12,2,202,93
39,2012-02-09,175,9,5,191,88
40,2012-02-10,167,11,7,155,85
41,2012-02-11,163,14,3,173,51
42,2012-02-12,189,11,5,357,60
43,2012-02-13,93,10,7,171,34
44,2012-02-14,92,14,3,228,58
45,2012-02-15,129,12,3,321,61
46,2012-02-16,150,5,2,220,101
47,2012-02-17,142,5,12,181,55
48,2012-02-18,153,6,2,182,60
49,2012-02-19,206,14,2,345,79
50,2012-02-20,117,5,3,121,31
51,2012-02-21,173,4,5,141,56
52,2012-02-22,198,16,2,157,69
53,2012-02-23,188,9,4,202,79
54,2012-02-24,186,19,3,229,60
55,2012-02-25,167,7,6,182,142
56,2012-02-26,265,20,8,390,99
57,2012-02-27,86,11,4,177,32
58,2012-02-28,112,5,3,175,38
59,2012-02-29,161,9,2,237,62
60,2012-03-01,161,9,7,207,71
61,2012-03-02,211,14,6,167,66
62,2012-03-03,130,4,4,164,56
63,2012-03-04,209,12,5,337,76
64,2012-03-05,89,4,5,144,26
65,2012-03-06,141,8,2,141,36
66,2012-03-07,124,7,5,223,78
67,2012-03-08,188,8,1,183,69
68,2012-03-09,116,11,7,148,66
69,2012-03-10,171,14,6,152,62
70,2012-03-11,202,21,5,326,74
71,2012-03-12,74,5,3,198,48
72,2012-03-13,178,14,2,163,40
73,2012-03-14,90,10,8,195,55
74,2012-03-15,261,11,7,236,82
75,2012-03-16,238,4,2,210,48
76,2012-03-17,140,8,6,153,72
77,2012-03-18,257,34,12,337,68
78,2012-03-19,97,5,2,204,37
79,2012-03-20,150,2,3,201,52
80,2012-03-21,175,18,6,274,89
81,2012-03-22,180,11,9,222,78
82,2012-03-23,222,10,18,246,80
83,2012-03-24,119,11,4,165,55
84,2012-03-25,221,13,6,394,83
85,2012-03-26,147,7,4,111,34
86,2012-03-27,80,9,4,185,36
87,2012-03-28,203,5,10,245,81
88,2012-03-29,361,26,13,241,135
89,2012-03-30,188,2,13,164,75
90,2012-03-31,177,10,12,210,89
91,2012-04-01,303,29,10,330,93
92,2012-04-02,154,8,14,166,46
93,2012-04-03,170,10,9,152,34
94,2012-04-04,164,12,9,229,85
95,2012-04-05,207,11,12,281,90
96,2012-04-06,141,6,16,203,97
97,2012-04-07,165,6,9,159,58
98,2012-04-08,205,17,16,327,69
99,2012-04-09,200,3,3,134,39
100,2012-04-10,133,2,9,153,28
101,2012-04-11,158,6,7,237,96
102,2012-04-12,184,6,6,263,110
103,2012-04-13,188,21,5,188,66
104,2012-04-14,145,13,6,170,79
105,2012-04-15,266,25,2,372,115
106,2012-04-16,113,2,9,160,62
107,2012-04-17,184,12,4,182,51
108,2012-04-18,194,29,7,223,122
109,2012-04-19,267,21,,225,105
110,2012-04-20,245,11,10,242,118
111,2012-04-21,158,13,4,150,114
112,2012-04-22,267,16,,420,197
113,2012-04-23,121,15,5,158,69
114,2012-04-24,123,22,3,82,70
115,2012-04-25,150,12,1,207,104
116,2012-04-26,268,10,5,284,121
117,2012-04-27,163,10,3,202,97
118,2012-04-28,122,18,7,182,71
119,2012-04-29,192,26,6,346,101
120,2012-04-30,114,10,5,155,36
121,2012-05-01,106,7,,232,44
122,2012-05-02,117,45,2,281,88
123,2012-05-03,168,28,2,249,67
124,2012-05-04,152,19,10,192,62
125,2012-05-05,157,27,9,201,66
126,2012-05-06,292,26,4,368,131
127,2012-05-07,90,8,4,150,49
