,Date,climate change matches,corporate governance matches,ESG matches,social responsibility matches,sustainability matches
128,2012-05-08,144,8,,318,56
129,2012-05-09,145,21,2,260,78
130,2012-05-10,111,10,2,213,90
131,2012-05-11,122,17,6,235,39
132,2012-05-12,129,13,7,257,54
133,2012-05-13,182,9,4,498,97
134,2012-05-14,83,34,1,225,35
135,2012-05-15,109,21,2,181,39
136,2012-05-16,138,24,7,175,63
137,2012-05-17,199,7,7,212,83
138,2012-05-18,201,7,2,184,50
139,2012-05-19,111,12,7,185,68
140,2012-05-20,190,21,6,464,93
141,2012-05-21,220,5,2,112,42
142,2012-05-22,82,17,1,204,40
143,2012-05-23,114,17,2,223,60
144,2012-05-24,101,10,3,228,67
145,2012-05-25,195,10,8,175,51
146,2012-05-26,174,66,4,193,58
147,2012-05-27,193,34,3,359,83
148,2012-05-28,87,3,1,107,29
149,2012-05-29,100,9,2,225,46
150,2012-05-30,141,12,1,283,67
151,2012-05-31,137,10,4,194,80
152,2012-06-01,156,11,1,174,68
153,2012-06-02,123,22,5,166,61
154,2012-06-03,296,23,1,363,67
155,2012-06-04,92,2,1,101,36
156,2012-06-05,92,39,1,144,37
157,2012-06-06,134,10,,203,70
158,2012-06-07,181,10,4,231,51
159,2012-06-08,147,11,9,171,52
160,2012-06-09,112,59,5,162,61
161,2012-06-10,191,42,4,335,83
162,2012-06-11,75,14,2,122,40
163,2012-06-12,95,15,6,122,28
164,2012-06-13,194,16,7,215,62
165,2012-06-14,183,16,5,208,67
166,2012-06-15,133,33,6,191,39
167,2012-06-16,121,12,2,214,44
168,2012-06-17,199,21,4,348,102
169,2012-06-18,78,6,6,132,37
170,2012-06-19,110,4,6,164,34
171,2012-06-20,145,9,4,244,58
172,2012-06-21,184,5,2,209,85
173,2012-06-22,190,32,4,156,67
174,2012-06-23,176,2,5,181,74
175,2012-06-24,295,28,12,306,86
176,2012-06-25,190,5,2,102,43
177,2012-06-26,116,11,3,159,53
178,2012-06-27,265,12,3,243,65
179,2012-06-28,277,10,6,201,94
180,2012-06-29,123,4,8,174,53
181,2012-06-30,163,7,5,165,66
182,2012-07-01,191,10,1,298,61
183,2012-07-02,85,4,4,100,31
184,2012-07-03,123,7,1,145,39
185,2012-07-04,211,7,4,178,52
186,2012-07-05,122,5,3,198,53
187,2012-07-06,125,4,4,150,45
188,2012-07-07,139,10,5,173,43
189,2012-07-08,186,20,4,312,56
190,2012-07-09,88,6,2,130,22
191,2012-07-10,143,9,8,154,38
192,2012-07-11,207,4,2,174,77
193,2012-07-12,158,3,3,174,149
194,2012-07-13,108,23,5,187,23
195,2012-07-14,123,3,7,166,44
196,2012-07-15,230,15,2,295,69
197,2012-07-16,137,16,1,124,64
198,2012-07-17,105,10,,176,25
199,2012-07-18,146,9,4,256,84
200,2012-07-19,147,9,1,178,72
201,2012-07-20,156,8,3,134,52
202,2012-07-21,18,9,5,154,30
203,2012-07-22,157,14,4,303,82
204,2012-07-23,96,4,1,112,24
205,2012-07-24,99,8,1,139,23
206,2012-07-25,63,13,7,205,83
207,2012-07-26,207,14,3,207,73
208,2012-07-27,173,13,,166,43
209,2012-07-28,133,17,2,168,40
210,2012-07-29,206,6,8,265,69
211,2012-07-30,116,5,5,143,21
212,2012-07-31,81,10,,126,38
213,2012-08-01,143,5,3,222,56
214,2012-08-02,117,7,3,246,50
215,2012-08-03,170,4,3,143,48
216,2012-08-04,160,6,1,142,85
217,2012-08-05,230,12,5,302,85
218,2012-08-06,112,5,1,129,24
219,2012-08-07,149,5,3,168,26
220,2012-08-08,149,11,5,176,54
221,2012-08-09,351,6,4,287,63
222,2012-08-10,128,9,2,146,27
223,2012-08-11,141,14,1,137,57
224,2012-08-12,202,19,3,326,90
225,2012-08-13,144,1,10,126,10
226,2012-08-14,97,11,3,167,38
227,2012-08-15,169,13,6,211,64
228,2012-08-16,133,4,4,154,57
229,2012-08-17,294,4,6,151,31
230,2012-08-18,159,10,4,166,38
231,2012-08-19,256,4,5,323,81
232,2012-08-20,108,3,1,129,25
233,2012-08-21,115,2,,158,35
234,2012-08-22,129,15,5,233,57
235,2012-08-23,163,12,7,216,72
236,2012-08-24,128,4,6,146,45
237,2012-08-25,153,3,1,158,46
238,2012-08-26,199,12,2,429,61
239,2012-08-27,126,5,1,173,20
240,2012-08-28,145,5,1,135,21
241,2012-08-29,118,2,6,221,55
242,2012-08-30,128,4,5,200,50
243,2012-08-31,161,6,17,179,33
244,2012-09-01,123,9,1,233,50
245,2012-09-02,190,15,2,309,84
246,2012-09-03,66,1,4,116,26
247,2012-09-04,125,5,2,145,33
248,2012-09-05,141,9,6,198,62
249,2012-09-06,170,9,4,177,64
250,2012-09-07,172,6,6,201,48
251,2012-09-08,142,5,5,180,44
252,2012-09-09,206,11,3,282,62
253,2012-09-10,89,2,8,113,32
254,2012-09-11,162,12,4,125,28
255,2012-09-12,156,9,4,227,50
256,2012-09-13,142,5,4,211,82
257,2012-09-14,166,3,6,164,50
258,2012-09-15,141,4,2,201,61
259,2012-09-16,210,10,2,324,85
260,2012-09-17,126,4,3,121,44
261,2012-09-18,136,4,3,143,50
262,2012-09-19,165,13,3,359,87
263,2012-09-20,222,7,7,246,90
264,2012-09-21,166,11,3,227,58
265,2012-09-22,148,13,,174,54
266,2012-09-23,221,14,6,404,70
267,2012-09-24,101,7,3,152,32
268,2012-09-25,108,8,,148,36
269,2012-09-26,122,22,2,257,65
270,2012-09-27,180,9,2,220,85
271,2012-09-28,161,5,6,202,75
272,2012-09-29,112,48,3,154,59
273,2012-09-30,220,26,2,309,72
274,2012-10-01,109,8,6,135,37
275,2012-10-02,123,11,,146,35
276,2012-10-03,141,15,,217,85
277,2012-10-04,149,11,6,194,82
278,2012-10-05,146,16,10,175,51
279,2012-10-06,156,5,4,148,48
280,2012-10-07,205,10,6,266,66
281,2012-10-08,18,7,3,114,23
282,2012-10-09,110,10,3,151,42
283,2012-10-10,167,13,2,243,88
284,2012-10-11,223,9,5,239,60
285,2012-10-12,169,14,5,278,44
286,2012-10-13,153,15,4,225,55
287,2012-10-14,240,13,5,380,90
288,2012-10-15,72,12,3,102,37
289,2012-10-16,113,5,4,183,27
290,2012-10-17,161,17,2,345,57
291,2012-10-18,188,24,5,280,77
292,2012-10-19,221,3,3,206,56
293,2012-10-20,177,5,2,146,49
294,2012-10-21,291,18,1,314,65
295,2012-10-22,115,10,1,143,28
296,2012-10-23,223,13,6,157,39
297,2012-10-24,173,8,3,239,66
298,2012-10-25,202,1,4,336,24
299,2012-10-26,194,9,1,222,64
300,2012-10-27,158,5,4,208,52
301,2012-10-28,225,10,4,332,65
302,2012-10-29,105,12,1,140,40
303,2012-10-30,111,7,2,251,21
304,2012-10-31,195,12,9,224,69
305,2012-11-01,215,2,2,223,74
306,2012-11-02,351,16,2,158,46
307,2012-11-03,175,10,3,181,30
308,2012-11-04,315,13,7,374,66
309,2012-11-05,162,3,3,155,30
310,2012-11-06,166,25,2,125,26
311,2012-11-07,270,11,3,234,66
312,2012-11-08,249,10,,160,57
313,2012-11-09,253,6,2,139,34
314,2012-11-10,168,4,2,164,44
315,2012-11-11,271,44,7,285,62
316,2012-11-12,146,4,2,138,40
317,2012-11-13,179,8,,192,43
318,2012-11-14,221,7,3,280,53
319,2012-11-15,260,11,5,209,54
320,2012-11-16,187,12,8,224,51
321,2012-11-17,211,11,2,142,53
322,2012-11-18,223,8,4,359,68
323,2012-11-19,95,6,2,95,22
324,2012-11-20,167,19,,149,51
325,2012-11-21,140,10,9,165,128
326,2012-11-22,243,7,2,198,42
327,2012-11-23,262,6,1,183,54
328,2012-11-24,136,4,4,164,35
329,2012-11-25,408,9,2,229,81
330,2012-11-26,175,3,1,121,45
331,2012-11-27,155,11,2,137,50
332,2012-11-28,222,17,4,199,8
333,2012-11-29,255,15,2,195,57
334,2012-11-30,223,5,6,141,38
335,2012-12-01,191,12,8,23,41
336,2012-12-02,336,22,2,307,94
337,2012-12-03,341,9,5,139,30
338,2012-12-04,141,5,1,113,18
339,2012-12-05,201,15,2,224,61
340,2012-12-06,190,6,4,170,51
341,2012-12-07,240,8,3,170,40
342,2012-12-08,236,13,7,192,41
343,2012-12-09,435,13,4,251,45
344,2012-12-10,168,8,1,124,29
345,2012-12-11,192,11,,163,44
346,2012-12-12,176,11,1,189,57
347,2012-12-13,188,10,1,210,64
348,2012-12-14,168,7,9,149,32
349,2012-12-15,248,11,6,160,34
350,2012-12-16,229,6,4,330,63
351,2012-12-17,94,2,4,119,48
352,2012-12-18,108,8,2,152,24
353,2012-12-19,148,9,4,233,37
354,2012-12-20,128,7,2,247,60
355,2012-12-21,166,6,8,218,35
356,2012-12-22,164,8,2,199,38
357,2012-12-23,247,12,4,250,58
358,2012-12-24,83,2,,149,10
359,2012-12-25,129,1,3,104,10
360,2012-12-26,150,2,3,205,35
361,2012-12-27,136,7,1,173,48
362,2012-12-28,241,4,5,132,36
363,2012-12-29,158,7,1,104,19
364,2012-12-30,237,11,3,241,46
365,2012-12-31,107,3,,143,22
