,Date,climate change matches,corporate governance matches,ESG matches,social responsibility matches,sustainability matches
0,2016-01-01,243,1,4,106,27
1,2016-01-02,243,3,4,104,36
2,2016-01-03,461,12,2,195,59
3,2016-01-04,221,1,3,82,Loading
4,2016-01-05,167,8,5,116,21
5,2016-01-06,227,12,2,124,26
6,2016-01-07,259,,4,160,50
7,2016-01-08,288,1,4,351,45
8,2016-01-09,257,8,1,170,20
9,2016-01-10,394,9,2,296,109
10,2016-01-11,129,1,2,94,22
11,2016-01-12,214,3,1,121,36
12,2016-01-13,423,5,1,194,55
13,2016-01-14,300,7,7,202,65
14,2016-01-15,240,4,6,218,66
15,2016-01-16,277,4,9,270,37
16,2016-01-17,315,13,3,262,43
17,2016-01-18,141,1,2,134,29
18,2016-01-19,252,5,1,145,34
19,2016-01-20,276,7,6,181,15
20,2016-01-21,362,8,4,176,58
21,2016-01-22,274,6,3,181,40
22,2016-01-23,247,47,3,156,67
23,2016-01-24,308,12,1,238,64
24,2016-01-25,133,,5,111,33
25,2016-01-26,262,2,2,85,33
26,2016-01-27,267,6,8,198,68
27,2016-01-28,252,11,3,251,52
28,2016-01-29,219,12,3,215,70
29,2016-01-30,223,56,4,153,50
30,2016-01-31,314,10,4,276,95
31,2016-02-01,117,5,2,141,26
32,2016-02-02,184,11,1,270,51
33,2016-02-03,169,5,4,290,50
34,2016-02-04,224,9,1,278,41
35,2016-02-05,292,44,9,157,38
36,2016-02-06,195,5,7,145,39
37,2016-02-07,362,5,6,320,77
38,2016-02-08,159,3,,118,34
39,2016-02-09,175,2,2,100,32
40,2016-02-10,432,6,9,231,36
41,2016-02-11,310,5,3,222,61
42,2016-02-12,207,9,2,190,61
43,2016-02-13,185,4,4,130,24
44,2016-02-14,297,23,3,Loading,47
45,2016-02-15,147,5,4,88,25
46,2016-02-16,153,11,,117,37
47,2016-02-17,Loading,4,7,213,96
48,2016-02-18,217,4,4,278,86
49,2016-02-19,271,10,10,170,81
50,2016-02-20,191,7,3,239,36
51,2016-02-21,324,26,5,259,72
52,2016-02-22,117,11,2,189,22
53,2016-02-23,226,2,3,188,30
54,2016-02-24,164,10,8,191,76
55,2016-02-25,203,4,10,201,74
56,2016-02-26,198,1,5,155,41
57,2016-02-27,198,7,2,126,38
58,2016-02-28,389,10,7,240,66
59,2016-02-29,232,,6,102,65
60,2016-03-01,245,5,3,162,61
61,2016-03-02,217,2,2,191,44
62,2016-03-03,223,7,6,185,66
63,2016-03-04,231,10,2,137,52
64,2016-03-05,230,6,4,159,38
65,2016-03-06,225,15,16,244,57
66,2016-03-07,155,4,2,164,38
67,2016-03-08,135,8,2,159,24
68,2016-03-09,202,12,12,262,54
69,2016-03-10,215,7,3,177,70
70,2016-03-11,144,3,6,154,48
71,2016-03-12,221,3,11,110,45
72,2016-03-13,248,16,6,353,68
73,2016-03-14,159,4,3,293,17
74,2016-03-15,213,10,3,153,17
75,2016-03-16,310,11,9,186,49
76,2016-03-17,266,6,5,188,153
77,2016-03-18,290,14,11,160,48
78,2016-03-19,86,3,5,153,102
79,2016-03-20,320,18,4,308,85
80,2016-03-21,175,6,6,127,20
81,2016-03-22,176,1,4,149,44
82,2016-03-23,212,6,6,288,60
83,2016-03-24,192,3,4,281,76
84,2016-03-25,195,8,12,220,50
85,2016-03-26,168,12,11,168,45
86,2016-03-27,271,7,4,242,73
87,2016-03-28,98,2,5,148,28
88,2016-03-29,116,2,4,148,27
89,2016-03-30,87,4,4,166,45
90,2016-03-31,79,4,6,213,80
91,2016-04-01,288,4,13,202,59
92,2016-04-02,158,,8,166,44
93,2016-04-03,266,5,6,105,61
94,2016-04-04,135,6,2,94,34
95,2016-04-05,173,3,4,128,37
96,2016-04-06,168,7,13,240,56
97,2016-04-07,199,15,4,193,90
98,2016-04-08,235,16,9,157,39
99,2016-04-09,178,8,4,52,85
100,2016-04-10,372,16,5,284,79
101,2016-04-11,131,1,2,106,37
102,2016-04-12,141,46,4,104,36
103,2016-04-13,315,1,6,243,45
104,2016-04-14,257,4,4,228,85
105,2016-04-15,213,4,3,165,59
106,2016-04-16,234,14,6,178,51
107,2016-04-17,430,11,2,249,79
108,2016-04-18,115,7,1,121,28
109,2016-04-19,183,6,4,120,48
110,2016-04-20,275,5,2,270,100
111,2016-04-21,335,40,6,145,117
112,2016-04-22,383,10,8,114,106
113,2016-04-23,447,2,9,106,66
114,2016-04-24,363,36,26,179,91
115,2016-04-25,193,4,8,85,39
116,2016-04-26,176,9,2,119,39
117,2016-04-27,165,4,3,202,62
118,2016-04-28,233,14,2,235,62
119,2016-04-29,172,10,3,157,67
120,2016-04-30,231,10,3,108,41
121,2016-05-01,243,16,6,268,94
122,2016-05-02,125,6,3,104,33
123,2016-05-03,142,4,4,103,21
124,2016-05-04,226,5,4,172,47
125,2016-05-05,272,8,2,170,37
126,2016-05-06,265,5,6,151,35
127,2016-05-07,173,3,2,122,38
128,2016-05-08,244,12,9,234,45
129,2016-05-09,114,,2,84,36
130,2016-05-10,86,15,1,92,21
131,2016-05-11,186,4,3,184,77
132,2016-05-12,166,7,4,204,52
133,2016-05-13,293,3,1,167,45
134,2016-05-14,80,28,4,225,50
135,2016-05-15,236,6,3,266,104
136,2016-05-16,158,6,4,144,28
137,2016-05-17,259,2,2,144,50
138,2016-05-18,173,3,3,245,11
139,2016-05-19,239,4,4,162,55
140,2016-05-20,154,3,4,161,32
141,2016-05-21,184,14,2,160,35
142,2016-05-22,290,14,6,278,69
143,2016-05-23,153,2,4,220,39
144,2016-05-24,205,10,2,202,33
145,2016-05-25,187,8,2,175,56
146,2016-05-26,204,48,8,227,76
147,2016-05-27,201,3,5,179,43
148,2016-05-28,109,6,9,161,21
149,2016-05-29,304,20,8,242,87
150,2016-05-30,145,7,1,139,13
151,2016-05-31,220,8,1,191,61
152,2016-06-01,198,2,2,196,23
153,2016-06-02,187,2,1,209,52
154,2016-06-03,261,10,1,145,39
155,2016-06-04,148,3,1,171,37
156,2016-06-05,262,4,9,236,70
157,2016-06-06,115,2,7,130,32
158,2016-06-07,161,10,5,105,36
159,2016-06-08,236,4,,218,43
160,2016-06-09,187,3,,185,101
161,2016-06-10,192,7,1,204,28
162,2016-06-11,114,3,2,175,37
163,2016-06-12,199,8,24,39,72
164,2016-06-13,112,5,1,172,16
165,2016-06-14,110,8,2,141,29
166,2016-06-15,132,5,2,176,45
167,2016-06-16,205,1,4,192,76
168,2016-06-17,146,11,4,100,38
169,2016-06-18,111,8,3,125,22
170,2016-06-19,307,13,3,266,62
171,2016-06-20,179,8,7,97,20
172,2016-06-21,108,,2,112,22
173,2016-06-22,306,3,4,183,55
174,2016-06-23,220,8,6,199,43
175,2016-06-24,199,6,7,110,55
176,2016-06-25,237,1,4,126,25
177,2016-06-26,337,12,5,295,55
178,2016-06-27,174,8,4,94,Loading
179,2016-06-28,188,3,2,114,16
180,2016-06-29,260,5,7,167,54
181,2016-06-30,197,9,8,200,64
182,2016-07-01,101,6,3,147,42
183,2016-07-02,137,8,2,209,33
184,2016-07-03,286,12,Loading,264,50
185,2016-07-04,85,3,6,226,23
186,2016-07-05,133,,4,142,25
187,2016-07-06,148,4,5,174,44
188,2016-07-07,145,1,7,215,34
189,2016-07-08,136,1,3,128,46
190,2016-07-09,116,4,2,146,36
191,2016-07-10,223,11,4,298,58
192,2016-07-11,113,2,5,169,23
193,2016-07-12,133,3,3,141,19
194,2016-07-13,239,10,5,229,73
195,2016-07-14,203,6,1,188,45
196,2016-07-15,127,7,7,206,33
197,2016-07-16,152,2,1,201,26
198,2016-07-17,257,16,3,346,58
199,2016-07-18,31,3,,141,28
200,2016-07-19,122,1,2,161,32
201,2016-07-20,204,5,2,326,51
202,2016-07-21,167,10,,262,64
203,2016-07-22,199,13,3,192,38
204,2016-07-23,193,4,2,159,22
205,2016-07-24,252,22,3,298,57
206,2016-07-25,184,4,2,173,31
207,2016-07-26,309,1,1,178,27
208,2016-07-27,318,9,4,222,63
209,2016-07-28,291,6,,275,38
210,2016-07-29,205,11,1,141,31
211,2016-07-30,172,10,4,167,31
212,2016-07-31,247,7,10,264,63
213,2016-08-01,140,1,2,83,23
214,2016-08-02,179,4,1,74,0
215,2016-08-03,190,16,3,287,74
216,2016-08-04,177,6,3,186,35
217,2016-08-05,180,14,4,156,55
218,2016-08-06,165,1,2,132,34
219,2016-08-07,174,19,3,229,47
220,2016-08-08,169,7,2,99,20
221,2016-08-09,212,4,4,205,24
222,2016-08-10,114,3,2,132,35
223,2016-08-11,175,2,3,130,32
224,2016-08-12,196,3,3,143,61
225,2016-08-13,178,2,4,194,32
226,2016-08-14,311,9,2,318,54
227,2016-08-15,135,3,2,96,28
228,2016-08-16,172,3,2,106,27
229,2016-08-17,240,5,5,232,50
230,2016-08-18,162,7,1,208,52
231,2016-08-19,189,8,7,150,45
232,2016-08-20,192,8,4,175,41
233,2016-08-21,237,6,4,243,45
234,2016-08-22,87,5,4,207,34
235,2016-08-23,147,3,4,109,20
236,2016-08-24,198,14,1,198,49
237,2016-08-25,199,4,8,246,67
238,2016-08-26,237,5,6,157,55
239,2016-08-27,308,6,3,110,63
240,2016-08-28,273,13,4,217,50
241,2016-08-29,103,4,5,112,18
242,2016-08-30,159,7,4,100,19
243,2016-08-31,273,4,5,183,48
244,2016-09-01,295,8,5,187,46
245,2016-09-02,255,9,4,134,84
246,2016-09-03,217,2,5,152,27
247,2016-09-04,439,8,7,212,43
248,2016-09-05,180,4,3,80,16
249,2016-09-06,218,3,5,137,28
250,2016-09-07,182,8,5,69,40
251,2016-09-08,190,5,7,187,65
252,2016-09-09,267,6,11,163,43
253,2016-09-10,142,8,9,111,26
254,2016-09-11,190,9,5,197,87
255,2016-09-12,82,2,7,103,28
256,2016-09-13,100,7,5,115,22
257,2016-09-14,190,7,4,189,49
258,2016-09-15,256,6,11,148,
259,2016-09-16,339,10,1,139,61
260,2016-09-17,168,3,4,155,42
261,2016-09-18,227,6,4,221,61
262,2016-09-19,218,4,3,148,29
263,2016-09-20,218,9,4,153,38
264,2016-09-21,256,8,1,285,67
265,2016-09-22,211,14,4,152,78
266,2016-09-23,97,7,2,207,38
267,2016-09-24,166,,2,209,39
268,2016-09-25,281,22,3,317,82
269,2016-09-26,148,4,2,107,23
270,2016-09-27,335,2,,175,30
271,2016-09-28,356,5,2,259,42
272,2016-09-29,246,7,3,161,112
273,2016-09-30,230,3,4,165,58
274,2016-10-01,165,14,3,164,42
275,2016-10-02,345,6,6,227,78
276,2016-10-03,198,2,1,80,22
277,2016-10-04,171,1,1,141,30
278,2016-10-05,250,,5,153,46
279,2016-10-06,424,1,5,180,58
280,2016-10-07,268,4,4,125,40
281,2016-10-08,242,1,2,117,37
282,2016-10-09,294,10,4,215,51
283,2016-10-10,100,2,,104,20
284,2016-10-11,176,1,2,85,29
285,2016-10-12,375,9,5,140,62
286,2016-10-13,196,9,2,165,65
287,2016-10-14,228,7,6,123,31
288,2016-10-15,226,3,4,109,27
289,2016-10-16,431,12,11,202,56
290,2016-10-17,109,1,2,100,26
291,2016-10-18,158,8,2,153,30
292,2016-10-19,287,48,5,205,62
293,2016-10-20,225,1,3,160,57
294,2016-10-21,191,5,2,126,45
295,2016-10-22,76,4,8,190,40
296,2016-10-23,271,15,5,236,100
297,2016-10-24,213,,1,124,35
298,2016-10-25,180,4,3,188,17
299,2016-10-26,247,5,2,242,65
300,2016-10-27,206,6,2,160,54
301,2016-10-28,237,3,4,103,44
302,2016-10-29,215,6,9,159,34
303,2016-10-30,200,15,6,222,54
304,2016-10-31,124,4,2,125,19
305,2016-11-01,140,,2,114,17
306,2016-11-02,196,4,3,171,57
307,2016-11-03,224,8,5,153,65
308,2016-11-04,294,1,3,150,35
309,2016-11-05,277,8,2,143,59
310,2016-11-06,377,9,5,284,61
311,2016-11-07,199,1,4,104,27
312,2016-11-08,176,4,2,103,29
313,2016-11-09,280,9,5,120,60
314,2016-11-10,330,8,2,141,45
315,2016-11-11,290,3,,155,40
316,2016-11-12,292,4,5,133,34
317,2016-11-13,457,11,2,264,55
318,2016-11-14,289,3,2,147,18
319,2016-11-15,235,17,2,117,21
320,2016-11-16,264,2,4,191,44
321,2016-11-17,325,17,2,172,51
322,2016-11-18,285,5,1,203,36
323,2016-11-19,367,8,7,104,31
324,2016-11-20,295,18,11,192,40
325,2016-11-21,214,5,4,123,29
326,2016-11-22,232,5,2,61,25
327,2016-11-23,397,6,8,148,16
328,2016-11-24,257,2,5,114,44
329,2016-11-25,242,3,2,165,38
330,2016-11-26,229,2,5,105,28
331,2016-11-27,279,6,3,263,47
332,2016-11-28,144,4,2,114,35
333,2016-11-29,202,6,1,124,24
334,2016-11-30,243,7,3,152,46
335,2016-12-01,223,7,4,136,23
336,2016-12-02,242,13,3,122,39
337,2016-12-03,269,11,3,126,45
338,2016-12-04,336,31,4,214,60
339,2016-12-05,142,5,3,109,Loading
340,2016-12-06,309,1,3,136,33
341,2016-12-07,216,5,8,132,47
342,2016-12-08,384,5,1,122,43
343,2016-12-09,254,1,3,132,36
344,2016-12-10,268,1,6,126,40
345,2016-12-11,464,10,4,329,56
346,2016-12-12,320,5,2,202,54
347,2016-12-13,238,1,4,127,29
348,2016-12-14,423,4,2,192,31
349,2016-12-15,299,6,2,112,48
350,2016-12-16,329,6,3,176,29
351,2016-12-17,260,6,4,115,24
352,2016-12-18,455,7,5,232,44
353,2016-12-19,119,6,2,109,17
354,2016-12-20,152,,2,179,24
355,2016-12-21,239,1,2,214,53
356,2016-12-22,192,3,2,117,60
357,2016-12-23,185,3,4,241,31
358,2016-12-24,114,2,5,137,26
359,2016-12-25,205,7,3,173,44
360,2016-12-26,118,2,1,149,12
361,2016-12-27,146,3,1,128,13
362,2016-12-28,150,1,4,136,33
363,2016-12-29,179,1,2,114,46
