,Date,climate change matches,corporate governance matches,ESG matches,social responsibility matches,sustainability matches
0,2017-01-01,340,4,2,248,43
1,2017-01-02,168,1,2,195,3
2,2017-01-03,239,,3,356,15
3,2017-01-04,190,8,3,138,7
4,2017-01-05,266,6,5,266,39
5,2017-01-06,156,5,4,194,34
6,2017-01-07,163,4,5,126,23
7,2017-01-08,428,10,3,229,74
8,2017-01-09,128,1,5,180,43
9,2017-01-10,250,8,2,118,36
10,2017-01-11,321,9,3,171,35
11,2017-01-12,326,2,5,183,53
12,2017-01-13,329,6,1,130,71
13,2017-01-14,238,3,9,139,43
14,2017-01-15,456,14,7,254,89
15,2017-01-16,191,10,1,149,34
16,2017-01-17,219,5,2,108,17
17,2017-01-18,366,27,2,248,38
18,2017-01-19,609,7,4,238,85
19,2017-01-20,346,9,1,249,36
20,2017-01-21,400,,4,156,62
21,2017-01-22,618,10,4,311,102
22,2017-01-23,228,10,2,114,26
23,2017-01-24,294,9,3,139,34
24,2017-01-25,480,1,1,320,49
25,2017-01-26,336,10,3,274,63
26,2017-01-27,487,8,5,189,39
27,2017-01-28,232,,6,112,61
28,2017-01-29,441,32,5,357,71
29,2017-01-30,216,13,3,162,34
30,2017-01-31,194,6,1,187,27
31,2017-02-01,100,5,2,193,67
32,2017-02-02,343,7,2,120,77
33,2017-02-03,294,7,34,152,29
34,2017-02-04,218,2,5,205,30
35,2017-02-05,313,7,5,206,50
36,2017-02-06,177,5,1,133,23
37,2017-02-07,156,9,3,131,14
38,2017-02-08,213,5,4,166,59
39,2017-02-09,212,1,3,158,63
40,2017-02-10,225,2,3,127,44
41,2017-02-11,174,6,3,199,43
42,2017-02-12,305,11,4,214,62
43,2017-02-13,40,3,3,104,29
44,2017-02-14,186,3,3,86,24
45,2017-02-15,165,4,6,157,27
46,2017-02-16,186,11,3,127,62
47,2017-02-17,196,9,4,137,41
48,2017-02-18,254,7,4,135,37
49,2017-02-19,315,11,5,233,44
50,2017-02-20,226,6,2,98,21
51,2017-02-21,198,4,2,104,28
52,2017-02-22,197,5,1,121,80
53,2017-02-23,186,5,3,139,55
54,2017-02-24,250,7,1,114,75
55,2017-02-25,155,7,9,115,45
56,2017-02-26,283,15,6,157,58
57,2017-02-27,153,2,7,151,20
58,2017-02-28,316,2,1,124,27
59,2017-03-01,245,8,19,155,54
60,2017-03-02,228,5,5,149,51
61,2017-03-03,291,7,7,154,52
62,2017-03-04,245,3,10,145,54
63,2017-03-05,269,8,8,248,85
64,2017-03-06,190,1,1,107,33
65,2017-03-07,175,Loading,5,143,33
66,2017-03-08,228,8,6,167,53
67,2017-03-09,178,6,4,202,58
68,2017-03-10,334,6,7,145,58
69,2017-03-11,334,7,10,178,52
70,2017-03-12,331,7,8,277,85
71,2017-03-13,208,2,5,98,19
72,2017-03-14,219,3,10,135,29
73,2017-03-15,267,6,7,188,70
74,2017-03-16,280,5,9,147,55
75,2017-03-17,394,6,6,193,40
76,2017-03-18,46,5,5,118,49
77,2017-03-19,332,31,5,231,71
78,2017-03-20,164,10,2,99,32
79,2017-03-21,197,4,5,222,21
80,2017-03-22,189,2,11,140,56
81,2017-03-23,204,6,12,168,97
82,2017-03-24,329,14,4,214,66
83,2017-03-25,409,9,7,156,48
84,2017-03-26,254,10,6,266,59
85,2017-03-27,164,,4,116,37
86,2017-03-28,172,9,8,154,25
87,2017-03-29,651,8,11,163,54
88,2017-03-30,353,14,11,180,47
89,2017-03-31,305,5,13,121,56
90,2017-04-01,171,10,7,165,38
91,2017-04-02,443,9,1,204,91
92,2017-04-03,158,3,4,135,33
93,2017-04-04,246,4,7,213,28
94,2017-04-05,235,4,5,225,56
95,2017-04-06,202,5,10,178,54
96,2017-04-07,299,2,8,142,42
97,2017-04-08,238,2,9,94,35
98,2017-04-09,16,13,5,126,59
99,2017-04-10,204,4,2,153,25
100,2017-04-11,116,5,2,119,27
101,2017-04-12,193,7,8,295,56
102,2017-04-13,170,4,4,154,65
103,2017-04-14,227,8,9,114,48
104,2017-04-15,244,3,6,135,53
105,2017-04-16,293,18,3,186,78
106,2017-04-17,99,5,5,129,55
107,2017-04-18,174,5,5,142,39
108,2017-04-19,27,5,5,335,60
109,2017-04-20,263,10,5,187,76
110,2017-04-21,272,3,7,158,68
111,2017-04-22,328,,6,155,57
112,2017-04-23,534,14,5,246,81
113,2017-04-24,214,6,6,91,72
114,2017-04-25,243,5,5,119,31
115,2017-04-26,226,24,6,145,54
116,2017-04-27,256,9,6,161,79
117,2017-04-28,239,,6,168,65
118,2017-04-29,342,5,8,235,44
119,2017-04-30,531,11,5,285,61
120,2017-05-01,169,2,7,90,26
121,2017-05-02,265,4,5,124,16
122,2017-05-03,205,5,9,222,39
123,2017-05-04,121,7,7,179,87
124,2017-05-05,196,10,8,119,73
125,2017-05-06,156,3,8,201,46
126,2017-05-07,328,9,3,215,145
127,2017-05-08,210,6,3,106,40
128,2017-05-09,169,4,7,112,72
129,2017-05-10,332,5,9,117,64
130,2017-05-11,291,3,7,135,61
131,2017-05-12,207,13,14,111,58
132,2017-05-13,166,7,4,147,47
133,2017-05-14,331,15,3,234,90
134,2017-05-15,144,2,2,148,22
135,2017-05-16,125,14,10,99,77
136,2017-05-17,57,2,6,129,54
137,2017-05-18,186,13,6,177,56
138,2017-05-19,177,3,6,138,41
139,2017-05-20,220,2,4,182,39
140,2017-05-21,304,23,2,205,45
141,2017-05-22,147,8,1,167,32
142,2017-05-23,104,7,7,168,23
143,2017-05-24,238,25,8,265,42
144,2017-05-25,386,10,5,250,51
145,2017-05-26,283,2,4,179,32
146,2017-05-27,421,4,4,168,22
147,2017-05-28,529,27,5,227,49
148,2017-05-29,203,5,2,134,21
149,2017-05-30,285,9,3,183,32
150,2017-05-31,284,3,8,201,55
151,2017-06-01,666,9,4,147,43
152,2017-06-02,795,1,5,142,38
153,2017-06-03,895,8,2,137,38
154,2017-06-04,605,14,6,258,102
155,2017-06-05,232,1,,111,25
156,2017-06-06,347,3,4,150,40
157,2017-06-07,344,10,7,152,36
158,2017-06-08,433,7,4,193,54
159,2017-06-09,423,3,9,185,43
160,2017-06-10,76,4,5,187,55
161,2017-06-11,468,8,1,204,52
162,2017-06-12,192,43,1,148,19
163,2017-06-13,225,3,11,99,27
164,2017-06-14,245,46,5,169,41
165,2017-06-15,187,5,6,166,39
166,2017-06-16,202,2,5,157,30
167,2017-06-17,208,4,4,180,27
168,2017-06-18,354,10,4,259,87
169,2017-06-19,169,2,2,96,26
170,2017-06-20,0,5,7,148,39
171,2017-06-21,274,8,5,125,64
172,2017-06-22,228,43,5,131,92
173,2017-06-23,252,7,11,249,39
174,2017-06-24,185,2,2,134,24
175,2017-06-25,329,18,12,215,5
176,2017-06-26,130,2,4,98,8
177,2017-06-27,233,2,7,88,22
178,2017-06-28,206,5,5,185,33
179,2017-06-29,233,5,7,170,52
180,2017-06-30,242,9,4,168,34
181,2017-07-01,189,10,7,129,85
182,2017-07-02,348,6,4,227,44
183,2017-07-03,194,4,4,82,30
184,2017-07-04,145,5,7,129,19
185,2017-07-05,167,1,8,149,33
186,2017-07-06,324,2,5,177,37
187,2017-07-07,375,,10,148,21
188,2017-07-08,314,,9,185,24
189,2017-07-09,474,9,2,242,81
190,2017-07-10,191,2,7,93,17
191,2017-07-11,191,1,10,110,24
192,2017-07-12,366,6,7,Loading,60
193,2017-07-13,479,3,8,172,47
194,2017-07-14,362,4,9,226,48
195,2017-07-15,316,7,7,118,48
196,2017-07-16,288,8,5,223,41
197,2017-07-17,117,1,1,111,28
198,2017-07-18,186,2,10,121,25
199,2017-07-19,255,7,13,198,32
200,2017-07-20,249,4,17,148,48
201,2017-07-21,211,4,13,263,47
202,2017-07-22,160,2,15,193,32
203,2017-07-23,419,5,7,213,42
204,2017-07-24,172,3,2,96,26
205,2017-07-25,33,2,12,111,26
206,2017-07-26,250,3,18,142,43
207,2017-07-27,222,4,15,53,49
208,2017-07-28,184,1,19,114,29
209,2017-07-29,164,2,10,113,39
210,2017-07-30,237,8,2,216,40
211,2017-07-31,98,4,3,91,26
212,2017-08-01,144,1,6,117,26
213,2017-08-02,164,6,15,249,29
214,2017-08-03,271,3,8,133,56
215,2017-08-04,226,5,14,150,33
216,2017-08-05,200,12,4,130,31
217,2017-08-06,242,8,3,316,45
218,2017-08-07,129,3,1,86,20
219,2017-08-08,192,7,8,184,34
220,2017-08-09,351,6,14,136,74
221,2017-08-10,264,12,9,160,36
222,2017-08-11,354,6,14,152,42
223,2017-08-12,180,2,9,113,47
224,2017-08-13,377,7,4,252,55
225,2017-08-14,123,,,121,21
226,2017-08-15,177,3,9,163,18
227,2017-08-16,224,7,12,281,40
228,2017-08-17,182,3,13,186,77
229,2017-08-18,226,38,10,188,38
230,2017-08-19,223,13,7,216,38
231,2017-08-20,309,10,8,261,39
232,2017-08-21,81,2,2,83,17
233,2017-08-22,101,1,6,167,56
234,2017-08-23,261,,17,163,52
235,2017-08-24,206,5,13,135,45
236,2017-08-25,206,8,15,109,34
237,2017-08-26,275,12,7,123,64
238,2017-08-27,245,7,3,236,51
239,2017-08-28,103,5,2,249,20
240,2017-08-29,145,3,9,129,15
241,2017-08-30,201,4,11,201,45
242,2017-08-31,173,4,10,126,37
243,2017-09-01,212,7,11,117,27
244,2017-09-02,160,3,5,106,28
245,2017-09-03,310,8,1,199,95
246,2017-09-04,78,2,4,79,25
247,2017-09-05,201,5,1,141,21
248,2017-09-06,269,6,13,169,28
249,2017-09-07,209,3,3,150,7
250,2017-09-08,190,7,13,110,3
251,2017-09-09,229,1,9,123,43
252,2017-09-10,320,6,3,242,72
253,2017-09-11,168,4,3,129,11
254,2017-09-12,347,2,2,87,11
255,2017-09-13,226,,15,135,50
256,2017-09-14,256,5,12,125,57
257,2017-09-15,395,4,8,136,38
258,2017-09-16,209,8,7,171,40
259,2017-09-17,495,13,6,183,70
260,2017-09-18,286,2,2,120,36
261,2017-09-19,143,5,5,111,27
262,2017-09-20,266,6,9,176,45
263,2017-09-21,239,4,9,144,36
264,2017-09-22,226,13,8,145,67
265,2017-09-23,251,8,6,130,61
266,2017-09-24,307,13,2,199,74
267,2017-09-25,120,3,2,152,26
268,2017-09-26,142,5,12,130,37
269,2017-09-27,185,38,12,188,67
270,2017-09-28,196,1,8,129,70
271,2017-09-29,186,7,11,137,36
272,2017-09-30,159,4,7,78,42
273,2017-10-01,199,11,3,180,59
274,2017-10-02,142,3,8,112,39
275,2017-10-03,131,6,9,209,29
276,2017-10-04,146,13,26,170,53
277,2017-10-05,190,5,13,137,47
278,2017-10-06,321,16,11,252,49
279,2017-10-07,295,1,7,137,23
280,2017-10-08,317,15,2,156,52
281,2017-10-09,121,5,1,97,13
282,2017-10-10,286,5,12,198,21
283,2017-10-11,171,6,8,150,40
284,2017-10-12,242,7,11,154,56
285,2017-10-13,233,18,11,126,41
286,2017-10-14,292,7,10,164,56
287,2017-10-15,346,13,1,221,51
288,2017-10-16,212,4,2,240,19
289,2017-10-17,105,2,10,157,23
290,2017-10-18,157,2,12,243,48
291,2017-10-19,181,4,10,226,44
292,2017-10-20,199,5,13,156,30
293,2017-10-21,210,3,14,113,26
294,2017-10-22,243,10,2,241,108
295,2017-10-23,162,1,1,88,18
296,2017-10-24,252,4,12,133,32
297,2017-10-25,207,20,13,156,65
298,2017-10-26,163,9,13,120,54
299,2017-10-27,254,8,14,214,60
300,2017-10-28,283,2,11,117,34
301,2017-10-29,358,6,6,210,49
302,2017-10-30,152,4,,114,23
303,2017-10-31,131,2,9,109,26
304,2017-11-01,294,3,7,121,55
305,2017-11-02,200,3,13,189,31
306,2017-11-03,216,3,10,162,34
307,2017-11-04,437,4,6,146,20
308,2017-11-05,280,8,2,167,46
309,2017-11-06,162,4,,77,22
310,2017-11-07,207,1,11,102,22
311,2017-11-08,259,4,12,160,65
312,2017-11-09,266,11,12,160,40
313,2017-11-10,196,6,11,130,27
314,2017-11-11,164,5,2,22,30
315,2017-11-12,342,9,5,169,43
