,Date,climate change matches,corporate governance matches,ESG matches,social responsibility matches,sustainability matches
316,2017-11-13,78,19,7,107,22
317,2017-11-14,192,23,11,108,23
318,2017-11-15,232,1,15,147,56
319,2017-11-16,236,1,12,319,54
320,2017-11-17,232,8,13,129,27
321,2017-11-18,185,7,5,128,38
322,2017-11-19,252,12,1,178,67
323,2017-11-20,95,6,,111,28
324,2017-11-21,181,7,11,114,22
325,2017-11-22,178,9,12,170,34
326,2017-11-23,208,2,4,151,49
327,2017-11-24,152,5,3,124,41
328,2017-11-25,135,8,11,145,32
329,2017-11-26,238,6,1,195,66
330,2017-11-27,133,3,1,128,23
331,2017-11-28,121,6,10,167,28
332,2017-11-29,169,11,12,150,37
333,2017-11-30,130,5,14,138,42
334,2017-12-01,182,6,6,143,28
335,2017-12-02,100,3,6,179,39
336,2017-12-03,239,12,6,233,55
337,2017-12-04,129,6,2,74,15
338,2017-12-05,99,13,10,85,7
339,2017-12-06,196,2,6,171,47
340,2017-12-07,165,2,11,152,53
341,2017-12-08,206,1,7,128,34
342,2017-12-09,134,1,5,163,17
343,2017-12-10,267,7,4,176,57
344,2017-12-11,213,2,2,128,19
345,2017-12-12,272,5,6,224,28
346,2017-12-13,347,5,7,141,42
347,2017-12-14,174,10,6,117,44
348,2017-12-15,244,2,6,164,32
349,2017-12-16,176,8,5,156,20
350,2017-12-17,230,11,5,163,56
351,2017-12-18,105,2,,168,20
352,2017-12-19,385,5,6,105,21
353,2017-12-20,216,15,7,67,37
354,2017-12-21,133,9,7,148,45
355,2017-12-22,207,2,8,112,33
356,2017-12-23,194,6,6,69,22
357,2017-12-24,195,14,2,233,32
358,2017-12-25,70,2,,94,8
359,2017-12-26,151,4,,193,33
360,2017-12-27,174,9,7,123,30
361,2017-12-28,165,4,8,157,70
362,2017-12-29,127,11,14,126,22
363,2017-12-30,280,1,5,160,17
364,2017-12-31,257,6,2,152,33
