,Date,climate change matches,corporate governance matches,ESG matches,social responsibility matches,sustainability matches
0,2018-01-01,110,6,2,140,17
1,2018-01-02,128,1,1,75,21
2,2018-01-03,162,4,4,110,23
3,2018-01-04,236,6,8,171,37
4,2018-01-05,234,4,9,129,30
5,2018-01-06,207,5,6,184,29
6,2018-01-07,285,14,,165,41
7,2018-01-08,120,1,3,78,17
8,2018-01-09,266,4,5,101,26
9,2018-01-10,288,6,7,106,35
10,2018-01-11,236,1,7,155,63
11,2018-01-12,232,2,9,133,32
12,2018-01-13,203,1,7,112,12
13,2018-01-14,276,2,3,263,42
14,2018-01-15,96,2,2,221,23
15,2018-01-16,126,4,2,112,27
16,2018-01-17,177,6,9,154,36
17,2018-01-18,283,4,8,155,36
18,2018-01-19,367,4,1,165,27
19,2018-01-20,206,2,5,177,31
20,2018-01-21,325,15,1,212,57
21,2018-01-22,132,4,2,129,28
22,2018-01-23,186,2,5,115,35
23,2018-01-24,244,1,5,168,77
24,2018-01-25,181,12,7,140,48
25,2018-01-26,320,10,9,195,34
26,2018-01-27,180,2,4,113,60
27,2018-01-28,252,19,12,247,73
28,2018-01-29,141,5,2,91,28
29,2018-01-30,151,4,7,220,25
30,2018-01-31,157,5,11,190,88
31,2018-02-01,161,6,7,96,46
32,2018-02-02,163,4,7,124,38
33,2018-02-03,212,7,4,83,31
34,2018-02-04,289,8,4,196,45
35,2018-02-05,161,6,1,91,29
36,2018-02-06,118,17,5,93,25
37,2018-02-07,157,4,6,155,51
38,2018-02-08,178,1,7,154,40
39,2018-02-09,215,7,6,210,43
40,2018-02-10,202,9,1,75,50
41,2018-02-11,179,10,1,162,64
42,2018-02-12,130,5,2,106,40
43,2018-02-13,195,8,7,128,23
44,2018-02-14,171,6,9,178,47
45,2018-02-15,240,5,16,134,42
46,2018-02-16,139,,5,174,44
47,2018-02-17,113,5,8,160,34
48,2018-02-18,212,7,1,237,76
49,2018-02-19,104,1,3,128,29
50,2018-02-20,171,,1,248,8
51,2018-02-21,190,4,6,217,51
52,2018-02-22,157,7,6,176,49
53,2018-02-23,185,3,6,187,46
54,2018-02-24,148,6,9,107,23
55,2018-02-25,199,8,3,238,65
56,2018-02-26,101,2,1,95,21
57,2018-02-27,131,4,6,93,20
58,2018-02-28,146,5,5,151,85
59,2018-03-01,214,3,8,194,57
60,2018-03-02,157,2,9,187,29
61,2018-03-03,139,5,8,107,17
62,2018-03-04,210,9,5,190,62
63,2018-03-05,123,,3,85,25
64,2018-03-06,159,12,7,83,37
65,2018-03-07,193,5,9,132,75
66,2018-03-08,227,4,7,102,63
67,2018-03-09,149,0,7,102,36
68,2018-03-10,87,2,6,126,40
69,2018-03-11,110,11,2,7,46
70,2018-03-12,87,9,9,146,29
71,2018-03-13,87,,7,79,17
72,2018-03-14,202,11,14,181,65
73,2018-03-15,142,10,6,172,47
74,2018-03-16,136,3,10,123,83
75,2018-03-17,149,2,5,163,31
76,2018-03-18,254,13,8,239,72
77,2018-03-19,76,,2,119,30
78,2018-03-20,95,10,5,117,29
79,2018-03-21,168,9,10,257,78
